# 4B 模型真机实测（从 Ollama server.log 抽取，非外推）

源: `C:\Users\23002\AppData\Local\Ollama\server.log`
样本数: 219 次完整推理

| # | prompt_tok | prompt_ms | eval_tok | eval_ms | total_ms | tok/s | 12tok | 20tok | 40tok |
|---|---|---|---|---|---|---|---|---|---|
| 1 | 3042 | 47690.7 | 234 | 32297.2 | 79987.9 | 7.21 | 1.66s | 2.77s | 5.55s |
| 2 | 15 | 766.1 | 99 | 13454.2 | 14220.4 | 7.28 | 1.65s | 2.75s | 5.49s |
| 3 | 10 | 518.1 | 169 | 23293.8 | 23811.9 | 7.21 | 1.66s | 2.77s | 5.55s |
| 4 | 14 | 699.5 | 256 | 35331.1 | 36030.6 | 7.22 | 1.66s | 2.77s | 5.54s |
| 5 | 9 | 468.2 | 57 | 7737.1 | 8205.3 | 7.24 | 1.66s | 2.76s | 5.52s |
| 6 | 12 | 604.5 | 91 | 12423.4 | 13027.9 | 7.24 | 1.66s | 2.76s | 5.52s |
| 7 | 15 | 768.5 | 59 | 7961.5 | 8730.0 | 7.29 | 1.65s | 2.74s | 5.49s |
| 8 | 14 | 709.2 | 103 | 14101.2 | 14810.4 | 7.23 | 1.66s | 2.77s | 5.53s |
| 9 | 10 | 517.4 | 104 | 14176.1 | 14693.4 | 7.27 | 1.65s | 2.75s | 5.50s |
| 10 | 13 | 652.2 | 80 | 10932.7 | 11585.0 | 7.23 | 1.66s | 2.77s | 5.53s |
| 11 | 10 | 520.6 | 204 | 28065.5 | 28586.2 | 7.23 | 1.66s | 2.77s | 5.53s |
| 12 | 10 | 519.7 | 56 | 7505.6 | 8025.3 | 7.33 | 1.64s | 2.73s | 5.46s |
| 13 | 13 | 216.5 | 210 | 15668.9 | 15885.3 | 13.34 | 0.90s | 1.50s | 3.00s |
| 14 | 1 | 116.5 | 161 | 12927.2 | 13043.7 | 12.38 | 0.97s | 1.62s | 3.23s |
| 15 | 2539 | 38887.1 | 231 | 28937.0 | 67824.1 | 7.95 | 1.51s | 2.52s | 5.03s |
| 16 | 1 | 148.2 | 227 | 28601.7 | 28750.0 | 7.90 | 1.52s | 2.53s | 5.06s |
| 17 | 365 | 6813.6 | 236 | 29593.3 | 36406.9 | 7.94 | 1.51s | 2.52s | 5.04s |
| 18 | 338 | 7384.7 | 131 | 16375.3 | 23760.0 | 7.94 | 1.51s | 2.52s | 5.04s |
| 19 | 334 | 7576.6 | 201 | 24994.7 | 32571.3 | 8.00 | 1.50s | 2.50s | 5.00s |
| 20 | 262 | 5749.7 | 70 | 8854.7 | 14604.4 | 7.79 | 1.54s | 2.57s | 5.13s |
| 21 | 449 | 10036.4 | 175 | 22175.4 | 32211.8 | 7.85 | 1.53s | 2.55s | 5.10s |
| 22 | 176 | 4204.9 | 123 | 15409.6 | 19614.5 | 7.92 | 1.52s | 2.53s | 5.05s |
| 23 | 361 | 7726.3 | 87 | 10957.0 | 18683.3 | 7.85 | 1.53s | 2.55s | 5.10s |
| 24 | 10 | 462.6 | 94 | 11722.2 | 12184.8 | 7.93 | 1.51s | 2.52s | 5.04s |
| 25 | 420 | 9090.6 | 67 | 8374.7 | 17465.3 | 7.88 | 1.52s | 2.54s | 5.08s |
| 26 | 140 | 3284.2 | 201 | 25036.6 | 28320.8 | 7.99 | 1.50s | 2.50s | 5.01s |
| 27 | 16 | 581.4 | 43 | 4786.4 | 5367.8 | 8.77 | 1.37s | 2.28s | 4.56s |
| 28 | 9 | 348.0 | 140 | 16348.8 | 16696.8 | 8.50 | 1.41s | 2.35s | 4.71s |
| 29 | 15 | 549.6 | 140 | 16053.0 | 16602.7 | 8.66 | 1.39s | 2.31s | 4.62s |
| 30 | 10 | 381.1 | 93 | 10545.6 | 10926.7 | 8.72 | 1.38s | 2.29s | 4.59s |
| 31 | 14 | 501.4 | 138 | 15817.8 | 16319.2 | 8.66 | 1.39s | 2.31s | 4.62s |
| 32 | 9 | 341.7 | 61 | 6868.8 | 7210.5 | 8.74 | 1.37s | 2.29s | 4.58s |
| 33 | 12 | 425.4 | 81 | 9151.0 | 9576.4 | 8.74 | 1.37s | 2.29s | 4.58s |
| 34 | 15 | 535.6 | 56 | 6268.5 | 6804.1 | 8.77 | 1.37s | 2.28s | 4.56s |
| 35 | 14 | 516.5 | 56 | 6342.5 | 6859.0 | 8.67 | 1.38s | 2.31s | 4.61s |
| 36 | 10 | 400.6 | 50 | 5655.5 | 6056.1 | 8.66 | 1.39s | 2.31s | 4.62s |
| 37 | 13 | 554.4 | 94 | 10632.1 | 11186.4 | 8.75 | 1.37s | 2.29s | 4.57s |
| 38 | 10 | 390.1 | 29 | 3186.8 | 3576.8 | 8.79 | 1.37s | 2.28s | 4.55s |
| 39 | 10 | 392.8 | 37 | 4097.3 | 4490.1 | 8.79 | 1.37s | 2.28s | 4.55s |
| 40 | 2611 | 39194.1 | 241 | 30840.5 | 70034.6 | 7.78 | 1.54s | 2.57s | 5.14s |
| 41 | 365 | 6717.3 | 255 | 33036.1 | 39753.4 | 7.69 | 1.56s | 2.60s | 5.20s |
| 42 | 338 | 6192.7 | 186 | 23548.5 | 29741.2 | 7.86 | 1.53s | 2.54s | 5.09s |
| 43 | 334 | 7085.4 | 223 | 28367.2 | 35452.6 | 7.83 | 1.53s | 2.55s | 5.11s |
| 44 | 262 | 5699.2 | 85 | 10605.3 | 16304.5 | 7.92 | 1.52s | 2.53s | 5.05s |
| 45 | 449 | 9367.5 | 148 | 18899.0 | 28266.5 | 7.78 | 1.54s | 2.57s | 5.14s |
| 46 | 176 | 3999.2 | 126 | 15791.9 | 19791.1 | 7.92 | 1.52s | 2.53s | 5.05s |
| 47 | 361 | 7826.8 | 147 | 18781.7 | 26608.5 | 7.77 | 1.54s | 2.57s | 5.15s |
| 48 | 10 | 457.6 | 66 | 8503.0 | 8960.6 | 7.64 | 1.57s | 2.62s | 5.24s |
| 49 | 420 | 8750.1 | 121 | 15340.1 | 24090.3 | 7.82 | 1.53s | 2.56s | 5.12s |
| 50 | 140 | 3173.0 | 190 | 24147.9 | 27320.9 | 7.83 | 1.53s | 2.55s | 5.11s |
| 51 | 16 | 595.2 | 67 | 7777.3 | 8372.5 | 8.49 | 1.41s | 2.36s | 4.71s |
| 52 | 370 | 6717.1 | 204 | 25891.0 | 32608.1 | 7.84 | 1.53s | 2.55s | 5.10s |
| 53 | 365 | 6613.4 | 218 | 27698.0 | 34311.4 | 7.83 | 1.53s | 2.55s | 5.11s |
| 54 | 338 | 7150.9 | 198 | 25126.6 | 32277.4 | 7.84 | 1.53s | 2.55s | 5.10s |
| 55 | 334 | 7600.1 | 221 | 28071.7 | 35671.8 | 7.84 | 1.53s | 2.55s | 5.10s |
| 56 | 262 | 5783.9 | 54 | 6752.5 | 12536.5 | 7.85 | 1.53s | 2.55s | 5.10s |
| 57 | 449 | 9533.6 | 97 | 12202.6 | 21736.2 | 7.87 | 1.52s | 2.54s | 5.08s |
| 58 | 176 | 4080.4 | 98 | 12242.1 | 16322.5 | 7.92 | 1.52s | 2.53s | 5.05s |
| 59 | 361 | 7682.1 | 132 | 16744.1 | 24426.3 | 7.82 | 1.53s | 2.56s | 5.12s |
| 60 | 10 | 465.4 | 90 | 11473.9 | 11939.3 | 7.76 | 1.55s | 2.58s | 5.15s |
| 61 | 420 | 8913.0 | 110 | 13833.2 | 22746.2 | 7.88 | 1.52s | 2.54s | 5.08s |
| 62 | 140 | 3223.5 | 104 | 13178.9 | 16402.4 | 7.82 | 1.53s | 2.56s | 5.12s |
| 63 | 16 | 666.9 | 81 | 9497.2 | 10164.1 | 8.42 | 1.43s | 2.38s | 4.75s |
| 64 | 9 | 347.4 | 157 | 18957.0 | 19304.4 | 8.23 | 1.46s | 2.43s | 4.86s |
| 65 | 15 | 602.5 | 136 | 16433.6 | 17036.1 | 8.21 | 1.46s | 2.44s | 4.87s |
| 66 | 10 | 408.0 | 154 | 18589.7 | 18997.8 | 8.23 | 1.46s | 2.43s | 4.86s |
| 67 | 14 | 560.0 | 112 | 13463.6 | 14023.6 | 8.24 | 1.46s | 2.43s | 4.85s |
| 68 | 9 | 366.2 | 64 | 7454.9 | 7821.1 | 8.45 | 1.42s | 2.37s | 4.73s |
| 69 | 12 | 475.2 | 167 | 20196.4 | 20671.5 | 8.22 | 1.46s | 2.43s | 4.87s |
| 70 | 15 | 611.1 | 139 | 16795.0 | 17406.1 | 8.22 | 1.46s | 2.43s | 4.87s |
