【A】真·零引用（全项目没有任何代码引用它，且字符串里也没提过）227 个
class  CompanionStage                             ralsei_pet\modules\companion_roster.py:438
class  FollowerBoard                              ralsei_pet\modules\npc_system.py:374
class  ReadableInteractable                       ralsei_pet\modules\companion.py:451
class  Relationship                               ralsei_pet\modules\relationship.py:158
def    AutonomousAgent.notify_position_changed    ralsei_pet\modules\autonomous_agent.py:294
def    Bubble.can_eject                           ralsei_pet\modules\bubble_system.py:295
def    Bubble.spin_to                             ralsei_pet\modules\bubble_system.py:255
def    BubbleField.keep_inside_all                ralsei_pet\modules\bubble_system.py:365
def    BubbleField.tick_all                       ralsei_pet\modules\bubble_system.py:361
def    Camera.set_border                          ralsei_pet\modules\scene_camera.py:228
def    Camera.set_size                            ralsei_pet\modules\scene_camera.py:224
def    ChatScheduler.fail_count                   ralsei_pet\modules\companion_roster.py:244
def    ChatScheduler.last_from                    ralsei_pet\modules\companion_roster.py:240
def    ChatScheduler.pending_id                   ralsei_pet\modules\companion_roster.py:232
def    ConfigManager.add_observer                 ralsei_pet\modules\config_manager.py:412
def    ConfigManager.enable_api                   ralsei_pet\modules\config_manager.py:594
def    ConfigManager.get_full_config              ralsei_pet\modules\config_manager.py:517
def    ConfigManager.get_security_config          ralsei_pet\modules\config_manager.py:615
def    ConfigManager.is_api_enabled               ralsei_pet\modules\config_manager.py:590
def    ConfigManager.is_encryption_enabled        ralsei_pet\modules\config_manager.py:624
def    ConfigManager.is_usage_data_enabled        ralsei_pet\modules\config_manager.py:607
def    ConfigManager.remove_observer              ralsei_pet\modules\config_manager.py:417
def    ConfigManager.reset_config                 ralsei_pet\modules\config_manager.py:488
def    ConfigManager.update_privacy_config        ralsei_pet\modules\config_manager.py:602
def    ConfigManager.update_security_config       ralsei_pet\modules\config_manager.py:619
def    ConfigManager.validate_config              ralsei_pet\modules\config_manager.py:521
def    ConversationFocus.current_label            ralsei_pet\modules\conversation_focus.py:495
def    ConversationFocus.is_empty                 ralsei_pet\modules\conversation_focus.py:498
